dates,sales
2017-01-01,27858.87
2017-02-01,25994.20
2017-03-01,27780.01
2017-04-01,29134.27
2017-05-01,27969.00
2017-06-01,29132.71
2017-07-01,31182.30
2017-08-01,31154.88
2017-09-01,30521.51
2017-10-01,32445.98
2017-11-01,33628.98
2017-12-01,40766.32
2018-01-01,32479.21
2018-02-01,31736.82
2018-03-01,36531.29
2018-04-01,34113.75
2018-05-01,35133.15
2018-06-01,38338.21
2018-07-01,39278.45
2018-08-01,39491.91
2018-09-01,39925.55
2018-10-01,43420.25
2018-11-01,44849.45
2018-12-01,57203.96
2019-01-01,45433.62
2019-02-01,44592.14
2019-03-01,51065.69
2019-04-01,49621.41
2019-05-01,50778.30
2019-06-01,54413.42
2019-07-01,55044.48
2019-08-01,59672.10
2019-09-01,57885.31
2019-10-01,66325.58
2019-11-01,67943.71
2019-12-01,83524.64
2020-01-01,70145.01
2020-02-01,72494.43
2020-03-01,85778.03
2020-04-01,75009.60
2020-05-01,78594.52
2020-06-01,78232.86
2020-07-01,81140.70
2020-08-01,80411.97
2020-09-01,77055.77
2020-10-01,89224.28
2020-11-01,91093.51
2020-12-01,115806.13
2021-01-01,98007.58
2021-02-01,92954.23
2021-03-01,107225.88
2021-04-01,106870.19
2021-05-01,110604.69
2021-06-01,116287.89
2021-07-01,125658.55
2021-08-01,124840.32
2021-09-01,123002.25
2021-10-01,140487.49
2021-11-01,141701.96
2021-12-01,183983.15
2022-01-01,154517.09
2022-02-01,152202.57
2022-03-01,168982.50
2022-04-01,177192.29
2022-05-01,179641.57
2022-06-01,196114.52
2022-07-01,228215.34
2022-08-01,225508.11
2022-09-01,232153.16
2022-10-01,265665.69
2022-11-01,284786.45
2022-12-01,359667.61
2023-01-01,316578.39
2023-02-01,318417.00
2023-03-01,363183.29
2023-04-01,385821.47
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
